STUDYID	DOMAIN	SUBJIDN	GFGRPID	GFREFID	GFTESTCD	GFTEST	GFTSTDTL	GFCAT	GFORRES	GFORRESU	GFORREF	GFRESCAT	GFGENREF	GFSYM	GFGENLOC	GFGENSR	GFSEQID	GFPVRID	GFSTAT	GFREASND	GFNAM	GFSPEC	MATRIX	GFMETHOD	GFANMETH	VISIT	GFDTC	GFTPT	GFTPTREF	GFTPTNUM	GFSIGDTL	SWVER
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-4442				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		1				GRCh38 miRBase V22				hsa-miR-181c-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-132-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		2				GRCh38 miRBase V22				hsa-miR-6750-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-153-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-3191-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		3				GRCh38 miRBase V22				hsa-miR-548u				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		91				GRCh38 miRBase V22				hsa-miR-192-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-3917				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-100-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		1				GRCh38 miRBase V22				hsa-miR-5591-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		23				GRCh38 miRBase V22				hsa-miR-4746-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		1				GRCh38 miRBase V22				hsa-miR-29a-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		9				GRCh38 miRBase V22				hsa-miR-4781-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-let-7f-1-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		40				GRCh38 miRBase V22				hsa-miR-3614-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		1				GRCh38 miRBase V22				hsa-miR-5091				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-32-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		10				GRCh38 miRBase V22				hsa-miR-579-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		329				GRCh38 miRBase V22				hsa-miR-4778-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		7				GRCh38 miRBase V22				hsa-miR-3691-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-6820-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		1				GRCh38 miRBase V22				hsa-miR-605-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-5000-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		69				GRCh38 miRBase V22				hsa-miR-4685-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		9				GRCh38 miRBase V22				hsa-miR-6877-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-614				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-4441				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-522-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		5				GRCh38 miRBase V22				hsa-miR-4743-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		42				GRCh38 miRBase V22				hsa-miR-1185-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-500b-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		5				GRCh38 miRBase V22				hsa-miR-4672				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		11				GRCh38 miRBase V22				hsa-miR-1252-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		5679				GRCh38 miRBase V22				hsa-miR-4788				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		53				GRCh38 miRBase V22				hsa-miR-591				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-6783-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-2278				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-4288				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		713				GRCh38 miRBase V22				hsa-miR-5188				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		17				GRCh38 miRBase V22				hsa-miR-150-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-6775-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		14				GRCh38 miRBase V22				hsa-miR-483-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-12131				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		10				GRCh38 miRBase V22				hsa-miR-1273h-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		6				GRCh38 miRBase V22				hsa-miR-3648				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_17	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-449b-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 02						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		167				GRCh38 miRBase V22				hsa-miR-4747-5p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-22-3p				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-3139				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
1234-5678	GF	9001547422		TEST0001_18	TRNSCPTN	Transcription	FRAGMENT COUNT		0				GRCh38 miRBase V22				hsa-miR-6126				ExternalSupplierName	miRNA	PLASMA	NEXT GENERATION SEQUENCING		VISIT 05						nf-core/smrnaseq: v2.3.1-g5901bea
